project,technologies
orbit_latest,"['docker', 'github', 'json', 'poetry', 'readthedocs', 'tox']"
grafana-dash-gen_latest,"['github-action', 'nodejs', 'npm', 'prettier', 'tsconfig']"
piranha_latest,"['cargo', 'github-action', 'poetry', 'pre-commit', 'rustfmt', 'toml']"
h3-py_latest,"['github-action', 'poetry']"
h3_latest,"['ansible-playbook', 'github-action', 'json', 'npm', 'yaml']"
petastorm_latest,"['docker', 'mypy', 'readthedocs']"
uForwarder_latest,"['docker', 'docker-compose', 'github-action', 'gradle', 'gradle-wrapper', 'spring']"
mockolo_latest,"['github-action', 'json']"
go.uber.org_latest,"['docker', 'github-action', 'yaml']"
athenadriver_latest,"['codecov', 'toml', 'travis', 'yaml']"
Moirai-SOSP25-code_latest,[]
ios-snapshot-test-case_latest,"['github-action', 'travis']"
scip-lsp_latest,"['github issues', 'github-action', 'nodejs', 'npm', 'tsconfig', 'yaml']"
causalml_latest,"['github', 'github-action', 'poetry', 'pre-commit', 'readthedocs', 'tox']"
NullAway_latest,"['android', 'codecov', 'github-action', 'gradle', 'gradle-wrapper', 'toml', 'yaml']"
geojson2h3_latest,['npm']
RIBs-iOS_latest,"['github-action', 'json', 'travis']"
RIBs_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper', 'npm', 'toml']"
rides-android-sdk_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper', 'toml']"
Moirai-SOSP25-logs_latest,[]
h3-go_latest,"['github-action', 'golangci-lint']"
vscode-bazel-bsp_latest,"['eslint', 'npm', 'tsconfig', 'vscode']"
h3-js_latest,"['npm', 'tsconfig']"
okbuck_latest,"['android', 'configparser', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'yaml']"
hermetic_cc_toolchain_latest,"['github', 'json', 'yaml']"
kraken_latest,"['docker', 'github', 'github-action', 'golangci-lint', 'helm', 'mkdocs', 'travis', 'yaml']"
h3-java_latest,"['ansible-playbook', 'configparser', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'toml']"
motif_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper']"
baseweb_latest,"['fuel', 'github-action', 'json', 'npm', 'pnpm', 'tsconfig', 'tslint', 'vscode']"
