project,technologies
orbit_latest,"['docker', 'github', 'poetry', 'readthedocs', 'tox']"
grafana-dash-gen_latest,"['github-action', 'nodejs', 'npm', 'prettier', 'tsconfig']"
piranha_latest,"['cargo', 'github-action', 'poetry', 'pre-commit', 'rustfmt']"
h3-py_latest,"['github-action', 'poetry']"
h3_latest,"['ansible-playbook', 'github-action', 'npm']"
petastorm_latest,"['docker', 'mypy', 'readthedocs']"
uForwarder_latest,"['docker', 'docker-compose', 'github-action', 'gradle', 'gradle-wrapper', 'spring']"
go.uber.org_latest,"['docker', 'github-action']"
athenadriver_latest,"['codecov', 'travis']"
ios-snapshot-test-case_latest,"['github-action', 'travis']"
scip-lsp_latest,"['github issues', 'github-action', 'nodejs', 'npm', 'tsconfig']"
causalml_latest,"['github', 'github-action', 'poetry', 'pre-commit', 'readthedocs', 'tox']"
NullAway_latest,"['android', 'codecov', 'github-action', 'gradle', 'gradle-wrapper']"
RIBs-iOS_latest,"['github-action', 'travis']"
RIBs_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper', 'npm']"
rides-android-sdk_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper']"
h3-go_latest,"['github-action', 'golangci-lint']"
vscode-bazel-bsp_latest,"['eslint', 'npm', 'tsconfig', 'vscode']"
h3-js_latest,"['npm', 'tsconfig']"
okbuck_latest,"['android', 'github', 'github-action', 'gradle', 'gradle-wrapper']"
kraken_latest,"['docker', 'github', 'github-action', 'golangci-lint', 'helm', 'mkdocs', 'travis']"
h3-java_latest,"['ansible-playbook', 'github-action', 'gradle', 'gradle-wrapper']"
motif_latest,"['android', 'github-action', 'gradle', 'gradle-wrapper']"
baseweb_latest,"['fuel', 'github-action', 'npm', 'pnpm', 'tsconfig', 'tslint', 'vscode']"
