account,id,name,full_name,owner_login,html_url,clone_url,ssh_url,description,homepage,topics,private,visibility,fork,archived,disabled,is_template,created_at,updated_at,pushed_at,size_kb,language,default_branch,stargazers_count,watchers_count,forks_count,open_issues_count,license_spdx_id,license_name,latest_commit_sha,latest_commit_date,latest_commit_message,latest_commit_author
uber,204529381,.github,uber/.github,uber,https://github.com/uber/.github,https://github.com/uber/.github.git,git@github.com:uber/.github.git,,,,False,public,False,False,False,False,2019-08-26T17:44:20Z,2026-01-12T20:31:13Z,2026-01-12T20:30:47Z,11,,master,0,0,2,0,,,660318e290e33baa85ea58d6388499016ea4bf1c,2026-01-12T20:30:46Z,Update CODE_OF_CONDUCT.md,Chris Howard
uber,238810193,athenadriver,uber/athenadriver,uber,https://github.com/uber/athenadriver,https://github.com/uber/athenadriver.git,git@github.com:uber/athenadriver.git,A fully-featured AWS Athena database driver (+ athenareader https://github.com/uber/athenadriver/tree/master/athenareader),https://uber.github.io/athenadriver,atg;athena;aws;database;driver;go;golang;hiveql;prestosql;s3;sandbox;sql;uber,False,public,False,False,False,False,2020-02-07T00:04:14Z,2025-10-28T13:52:49Z,2025-06-01T04:05:35Z,3138,Go,master,166,166,46,14,MIT,MIT License,ed473510065ed1101f60270e27f6601eb1f41cea,2025-06-01T04:05:35Z,Merge pull request #74 from timescale/nathan/fix-queries-without-args,Henry
uber,124470321,baseweb,uber/baseweb,uber,https://github.com/uber/baseweb,https://github.com/uber/baseweb.git,git@github.com:uber/baseweb.git,A React Component library implementing the Base design language,https://baseweb.design,component-library;design-systems;react;react-components,False,public,False,False,False,False,2018-03-09T01:32:10Z,2026-01-22T16:36:15Z,2026-01-07T21:00:19Z,303996,TypeScript,main,8924,8924,860,163,MIT,MIT License,abe015186dbf6f719c137af8b7a757a6a9366e26,2026-01-07T21:00:19Z,V16: blog entry (#5383),DianaSuvorova
uber,195914972,causalml,uber/causalml,uber,https://github.com/uber/causalml,https://github.com/uber/causalml.git,git@github.com:uber/causalml.git,Uplift modeling and causal inference with machine learning algorithms,,causal-inference;incubation;machine-learning;uplift-modeling,False,public,False,False,False,False,2019-07-09T02:08:58Z,2026-01-22T16:00:58Z,2025-11-07T21:13:35Z,131362,Python,master,5702,5702,842,48,NOASSERTION,Other,50c640d46c154e71155d25ea98cb89849267651f,2025-11-07T21:13:35Z,#775: Support multiple treatments in CausalTreeRegressor and CausalRandomForestRegressor (#852),Alexander Popkov
uber,138346796,geojson2h3,uber/geojson2h3,uber,https://github.com/uber/geojson2h3,https://github.com/uber/geojson2h3.git,git@github.com:uber/geojson2h3.git,Conversion utilities between H3 indexes and GeoJSON,,geojson;geospatial;h3;hexagon;javascript,False,public,False,False,False,False,2018-06-22T20:46:11Z,2026-01-22T21:32:18Z,2026-01-22T21:32:21Z,441,JavaScript,master,241,241,22,6,Apache-2.0,Apache License 2.0,84d991211e584fb620fc1216660f29adbc68e611,2026-01-22T21:32:14Z,Merge pull request #37 from uber/dependabot/npm_and_yarn/js-yaml-3.14.2,Isaac Brodsky
uber,65318334,go.uber.org,uber/go.uber.org,uber,https://github.com/uber/go.uber.org,https://github.com/uber/go.uber.org.git,git@github.com:uber/go.uber.org.git,Golang https://go.uber.org custom import path,,,False,public,False,False,False,False,2016-08-09T18:23:44Z,2025-11-01T19:57:04Z,2025-11-01T19:57:00Z,54,Makefile,master,2,2,1,0,NOASSERTION,Other,2be795ec9661ccfe92cb1f001c30e3bf9e48b428,2025-11-01T19:57:00Z,Update github auth actions to v3 (#53),Jacob Oaks
uber,33748307,grafana-dash-gen,uber/grafana-dash-gen,uber,https://github.com/uber/grafana-dash-gen,https://github.com/uber/grafana-dash-gen.git,git@github.com:uber/grafana-dash-gen.git,grafana dash dash dash gen,,,False,public,False,False,False,False,2015-04-10T20:06:22Z,2026-01-19T17:21:09Z,2025-12-04T05:48:49Z,1033,TypeScript,master,522,522,78,9,MIT,MIT License,054cbbb0cdb12145544f2bd2fa8f3c88b32bafd1,2025-12-04T05:48:49Z,Merge pull request #126 from zxbodya/enable-type-publish,Albert Wang
uber,114948816,h3,uber/h3,uber,https://github.com/uber/h3,https://github.com/uber/h3.git,git@github.com:uber/h3.git,Hexagonal hierarchical geospatial indexing system,https://h3geo.org,geospatial;h3;hexagon;spatial-indexing;uber,False,public,False,False,False,False,2017-12-21T01:38:35Z,2026-01-23T06:49:36Z,2026-01-22T18:43:27Z,59962,C,master,5927,5927,550,144,Apache-2.0,Apache License 2.0,7c89761cbb911abe5866c261c9330420d3a1ca99,2026-01-22T18:41:41Z,Bump lodash from 4.17.21 to 4.17.23 in /website (#1116),dependabot[bot]
uber,145076038,h3-go,uber/h3-go,uber,https://github.com/uber/h3-go,https://github.com/uber/h3-go.git,git@github.com:uber/h3-go.git,"Go bindings for H3, a hierarchical hexagonal geospatial indexing system",https://uber.github.io/h3/,geospatial;go;golang;h3;hexagon;spatial-indexing;uber,False,public,False,False,False,False,2018-08-17T05:32:07Z,2026-01-23T02:10:27Z,2025-12-12T21:04:24Z,447,Go,master,398,398,66,0,Apache-2.0,Apache License 2.0,0a399bc63c3676fd899e9c40536c4a3ec2243340,2025-12-12T21:04:23Z,docs: update CHANGELOG for v4.4.0 (#104),Justin Hwang
uber,121663790,h3-java,uber/h3-java,uber,https://github.com/uber/h3-java,https://github.com/uber/h3-java.git,git@github.com:uber/h3-java.git,"Java bindings for H3, a hierarchical hexagonal geospatial indexing system",https://h3geo.org/,geospatial;h3;hexagon;java;spatial-indexing;uber,False,public,False,False,False,False,2018-02-15T18:13:19Z,2026-01-14T08:40:43Z,2025-12-14T23:34:05Z,1325,Java,master,319,319,61,20,Apache-2.0,Apache License 2.0,636c34c21369596d360301bf5f9cc8b8841067cb,2025-12-14T23:33:04Z,fix pushing gh-pages in CI (#200),Isaac Brodsky
